epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,7039.6,1.09697,1.27783,1.51346,0.72986,0.65638,0.78236,0.51996,1.18544,1.10069,1.50183,0.0009142,0.0009142,0.0009142
15,8452.63,1.07539,1.21228,1.47145,0.8061,0.8042,0.84913,0.60328,1.11982,1.03937,1.40888,0.0009076,0.0009076,0.0009076
16,9380.75,1.06728,1.1858,1.46712,0.71858,0.79335,0.81031,0.54224,1.21233,1.10903,1.50104,0.000901,0.000901,0.000901
17,9756.76,1.03449,1.13109,1.42456,0.737,0.74847,0.798,0.58631,1.06967,0.94493,1.37543,0.0008944,0.0008944,0.0008944
18,10132.2,1.03766,1.17878,1.41049,0.76375,0.76181,0.8215,0.60681,1.0852,0.99608,1.37561,0.0008878,0.0008878,0.0008878
19,10464.2,1.01382,1.1069,1.40578,0.67676,0.82559,0.76303,0.51797,1.17015,0.95797,1.51013,0.0008812,0.0008812,0.0008812
20,10768.2,1.03731,1.19097,1.40051,0.68055,0.79725,0.81526,0.58739,1.03301,0.94177,1.35258,0.0008746,0.0008746,0.0008746
21,11115,1.03631,1.13984,1.42194,0.83064,0.66531,0.8133,0.60609,1.02756,0.91911,1.32958,0.000868,0.000868,0.000868
22,11468.5,1.00741,1.0794,1.39285,0.69608,0.83782,0.85525,0.65975,0.92612,0.90894,1.26006,0.0008614,0.0008614,0.0008614
23,11821.5,1.01702,1.14766,1.40205,0.73601,0.72842,0.74051,0.50172,1.18602,0.96317,1.44123,0.0008548,0.0008548,0.0008548
24,12173.9,0.98783,1.12889,1.38306,0.68318,0.70781,0.61907,0.42609,1.17815,1.09534,1.45001,0.0008482,0.0008482,0.0008482
25,12528.6,0.95719,1.02521,1.38218,0.87091,0.79399,0.86877,0.63894,1.06013,0.82753,1.36199,0.0008416,0.0008416,0.0008416
26,12882.5,1.01093,1.07942,1.40177,0.75898,0.73183,0.79619,0.60431,0.97045,1.01628,1.30574,0.000835,0.000835,0.000835
27,13235.8,0.98084,1.04487,1.3663,0.81252,0.81071,0.8737,0.65461,1.05034,0.84881,1.3439,0.0008284,0.0008284,0.0008284
28,13590.9,0.93764,1.06953,1.3477,0.8297,0.78169,0.85091,0.65926,0.97074,0.85592,1.29118,0.0008218,0.0008218,0.0008218
29,13946.3,0.94744,1.03836,1.36316,0.7967,0.71903,0.7904,0.64137,0.8392,0.90202,1.20646,0.0008152,0.0008152,0.0008152
30,14301.6,0.95315,1.00834,1.36536,0.89063,0.78719,0.87519,0.67801,0.91989,0.79748,1.27001,0.0008086,0.0008086,0.0008086
31,14656,0.94473,1.03041,1.35289,0.66804,0.84726,0.8538,0.673,0.91144,0.8694,1.24735,0.000802,0.000802,0.000802
32,15008.8,0.94355,1.01444,1.34939,0.73899,0.79627,0.86702,0.67429,0.90501,0.81317,1.26687,0.0007954,0.0007954,0.0007954
33,15362.2,0.95834,1.02799,1.35571,0.75392,0.81913,0.90574,0.68804,0.96135,0.7641,1.26477,0.0007888,0.0007888,0.0007888
34,15715.8,0.93349,0.99558,1.34265,0.83339,0.84199,0.87987,0.68181,0.88382,0.81531,1.22038,0.0007822,0.0007822,0.0007822
35,16069.6,0.90744,0.95862,1.31917,0.79432,0.83678,0.89221,0.7125,0.86201,0.71106,1.22077,0.0007756,0.0007756,0.0007756
36,16425.7,0.96258,1.00969,1.37795,0.78961,0.66047,0.82015,0.5997,1.01471,0.96414,1.32105,0.000769,0.000769,0.000769
37,16780.1,0.95839,1.03719,1.36943,0.79731,0.76475,0.84009,0.67174,0.81887,0.83045,1.17944,0.0007624,0.0007624,0.0007624
38,17133.8,0.97234,0.98953,1.36086,0.66194,0.88233,0.85034,0.6656,0.89972,0.83898,1.2368,0.0007558,0.0007558,0.0007558
39,17486.9,0.93411,0.956,1.34169,0.75682,0.82322,0.8815,0.72029,0.79786,0.75118,1.19069,0.0007492,0.0007492,0.0007492
40,17840.8,0.93447,0.95437,1.35317,0.74375,0.74844,0.86338,0.69747,0.78799,0.87085,1.18353,0.0007426,0.0007426,0.0007426
41,18213.8,0.89427,0.95803,1.31498,0.81983,0.72842,0.79793,0.64269,0.77337,0.78647,1.16259,0.000736,0.000736,0.000736
42,18568.8,0.91011,0.95767,1.33025,0.77726,0.86184,0.89147,0.7228,0.69851,0.70713,1.12592,0.0007294,0.0007294,0.0007294
43,18922.9,0.88493,0.92919,1.31773,0.83346,0.75064,0.86147,0.7159,0.75431,0.79469,1.13388,0.0007228,0.0007228,0.0007228
44,19276.2,0.89329,0.93863,1.33285,0.73615,0.80683,0.86679,0.67097,0.96598,0.83087,1.30878,0.0007162,0.0007162,0.0007162
45,19630.8,0.925,0.92245,1.36931,0.8194,0.76821,0.87087,0.69778,0.83167,0.76364,1.22279,0.0007096,0.0007096,0.0007096
46,19984.1,0.88332,0.90365,1.30491,0.80929,0.85191,0.9068,0.75948,0.69744,0.67934,1.10978,0.000703,0.000703,0.000703
47,20339.2,0.88724,0.89656,1.31733,0.84729,0.88155,0.91649,0.73559,0.86598,0.67557,1.19008,0.0006964,0.0006964,0.0006964
48,20693.8,0.85195,0.85235,1.29043,0.87843,0.89154,0.91701,0.72495,0.87324,0.64357,1.21771,0.0006898,0.0006898,0.0006898
49,21051.4,0.88569,0.87658,1.3019,0.85879,0.81544,0.89809,0.73977,0.79192,0.7375,1.16748,0.0006832,0.0006832,0.0006832
50,21410.5,0.87531,0.86957,1.31063,0.87693,0.86539,0.92013,0.72385,0.89642,0.66756,1.25014,0.0006766,0.0006766,0.0006766
51,21763,0.881,0.87865,1.31333,0.78692,0.88525,0.91426,0.76199,0.67797,0.72095,1.12117,0.00067,0.00067,0.00067
52,22116.3,0.88862,0.88488,1.30488,0.81268,0.78153,0.85146,0.71678,0.71612,0.73014,1.13241,0.0006634,0.0006634,0.0006634
53,22469.6,0.88646,0.89861,1.31876,0.85563,0.84897,0.91682,0.71213,0.89162,0.70884,1.2529,0.0006568,0.0006568,0.0006568
54,22823.9,0.90042,0.90801,1.32126,0.86441,0.84372,0.91029,0.74834,0.70268,0.6324,1.13072,0.0006502,0.0006502,0.0006502
55,23177.5,0.85156,0.86323,1.29126,0.88028,0.8386,0.91433,0.73342,0.80048,0.6759,1.17395,0.0006436,0.0006436,0.0006436
56,23531.2,0.83659,0.84834,1.29271,0.8749,0.82544,0.90749,0.74966,0.7664,0.64678,1.17861,0.000637,0.000637,0.000637
57,23886.5,0.85437,0.85507,1.29795,0.87099,0.86831,0.9207,0.77311,0.73396,0.6113,1.15373,0.0006304,0.0006304,0.0006304
58,24240.6,0.87517,0.86144,1.30285,0.90078,0.87073,0.92967,0.73034,0.87914,0.61449,1.24333,0.0006238,0.0006238,0.0006238
59,24592.1,0.86812,0.81618,1.28794,0.86278,0.88884,0.92751,0.76032,0.75643,0.64879,1.18776,0.0006172,0.0006172,0.0006172
60,24946.1,0.87288,0.8276,1.28879,0.8779,0.8847,0.91874,0.7094,0.94335,0.66727,1.27834,0.0006106,0.0006106,0.0006106
61,25297.4,0.85851,0.85095,1.29154,0.77182,0.86586,0.87141,0.70743,0.74643,0.75689,1.1418,0.000604,0.000604,0.000604
62,25649.1,0.88435,0.8638,1.31223,0.85651,0.84199,0.90137,0.70938,0.87905,0.66443,1.19207,0.0005974,0.0005974,0.0005974
63,26001.2,0.82935,0.81279,1.25852,0.79576,0.88772,0.90344,0.72846,0.80343,0.65032,1.16963,0.0005908,0.0005908,0.0005908
64,26353.8,0.84135,0.81568,1.25444,0.86778,0.87385,0.92176,0.74299,0.81959,0.5973,1.20544,0.0005842,0.0005842,0.0005842
65,26707.8,0.85564,0.82718,1.29221,0.75162,0.8996,0.89129,0.7238,0.82672,0.67731,1.21051,0.0005776,0.0005776,0.0005776
66,27062.4,0.83129,0.81591,1.26009,0.90288,0.80273,0.90076,0.76459,0.6887,0.59856,1.11991,0.000571,0.000571,0.000571
67,27415.2,0.81004,0.82456,1.24338,0.87329,0.79239,0.90194,0.75503,0.71257,0.62773,1.11818,0.0005644,0.0005644,0.0005644
68,27768.7,0.81214,0.83154,1.26625,0.86563,0.81566,0.89411,0.73698,0.75019,0.63575,1.15299,0.0005578,0.0005578,0.0005578
69,28121.4,0.82682,0.81656,1.26964,0.85235,0.84372,0.91889,0.77069,0.6993,0.62075,1.10804,0.0005512,0.0005512,0.0005512
70,28474.6,0.79718,0.80349,1.23778,0.89243,0.85981,0.90736,0.74372,0.75091,0.63455,1.14291,0.0005446,0.0005446,0.0005446
71,28828.9,0.81771,0.78375,1.27323,0.87862,0.87056,0.88846,0.71332,0.8293,0.61016,1.19766,0.000538,0.000538,0.000538
72,29181.9,0.81697,0.77763,1.26175,0.86077,0.83723,0.90858,0.77262,0.68056,0.64598,1.13317,0.0005314,0.0005314,0.0005314
73,29534.8,0.83435,0.78629,1.27876,0.87803,0.79947,0.91023,0.74488,0.82236,0.66653,1.16888,0.0005248,0.0005248,0.0005248
74,29888.7,0.83685,0.81301,1.28269,0.86771,0.83244,0.91888,0.76249,0.72521,0.63177,1.14989,0.0005182,0.0005182,0.0005182
75,30240.5,0.82193,0.75419,1.27195,0.8581,0.88209,0.91437,0.75109,0.75938,0.61647,1.1624,0.0005116,0.0005116,0.0005116
76,30594.1,0.81293,0.78871,1.26971,0.87634,0.86616,0.89939,0.74668,0.75762,0.61244,1.15196,0.000505,0.000505,0.000505
77,30948.2,0.81916,0.7534,1.2624,0.86267,0.83394,0.9086,0.75045,0.76658,0.61068,1.15182,0.0004984,0.0004984,0.0004984
78,31301.3,0.79357,0.74099,1.23537,0.9075,0.86539,0.92227,0.76615,0.73397,0.57653,1.11293,0.0004918,0.0004918,0.0004918
79,31651.5,0.79545,0.77019,1.26047,0.91605,0.86421,0.91414,0.7877,0.66951,0.5772,1.098,0.0004852,0.0004852,0.0004852
80,32004.2,0.77958,0.76207,1.24397,0.89472,0.84393,0.91016,0.75648,0.77447,0.61013,1.15599,0.0004786,0.0004786,0.0004786
81,32356.6,0.82878,0.76979,1.28197,0.86617,0.84456,0.89665,0.73751,0.81132,0.62246,1.19008,0.000472,0.000472,0.000472
82,32709.8,0.74986,0.68609,1.22698,0.88019,0.89991,0.9203,0.75147,0.79556,0.59702,1.17444,0.0004654,0.0004654,0.0004654
83,33064.1,0.80205,0.76854,1.26582,0.8432,0.90811,0.92467,0.79329,0.64733,0.53879,1.08614,0.0004588,0.0004588,0.0004588
84,33419.6,0.80768,0.74802,1.25121,0.84886,0.83289,0.88739,0.75136,0.69866,0.61979,1.09844,0.0004522,0.0004522,0.0004522
85,33772.4,0.79031,0.71061,1.24542,0.88013,0.90401,0.92135,0.77687,0.74149,0.57706,1.1331,0.0004456,0.0004456,0.0004456
86,34125.3,0.81418,0.72651,1.276,0.88694,0.90107,0.91942,0.75541,0.83424,0.5947,1.19913,0.000439,0.000439,0.000439
87,34478.2,0.74988,0.68017,1.21207,0.8998,0.87751,0.91809,0.78365,0.68282,0.58252,1.0798,0.0004324,0.0004324,0.0004324
88,34831.7,0.74798,0.6778,1.22511,0.90415,0.86688,0.9109,0.77839,0.71106,0.58144,1.12036,0.0004258,0.0004258,0.0004258
89,35185.8,0.79751,0.73712,1.25903,0.85733,0.89124,0.91137,0.76716,0.74365,0.58121,1.11876,0.0004192,0.0004192,0.0004192
90,35540.5,0.78348,0.70651,1.24836,0.90412,0.849,0.91346,0.77106,0.71348,0.57183,1.1436,0.0004126,0.0004126,0.0004126
91,35893.6,0.78624,0.71803,1.23468,0.88889,0.88816,0.90861,0.76357,0.68228,0.59079,1.13118,0.000406,0.000406,0.000406
92,36247.5,0.76648,0.70592,1.2362,0.86019,0.85221,0.90252,0.75057,0.69734,0.63543,1.1307,0.0003994,0.0003994,0.0003994
93,36601.7,0.77478,0.72354,1.2246,0.83289,0.8765,0.89754,0.75857,0.68726,0.64786,1.12797,0.0003928,0.0003928,0.0003928
94,36953.9,0.75439,0.68557,1.23702,0.82739,0.84918,0.88232,0.72589,0.78161,0.65655,1.18364,0.0003862,0.0003862,0.0003862
95,37308.1,0.75981,0.7306,1.23493,0.85675,0.83962,0.88842,0.7613,0.68627,0.63279,1.11266,0.0003796,0.0003796,0.0003796
96,37661,0.78002,0.71912,1.24376,0.89677,0.8847,0.92054,0.79347,0.6235,0.56043,1.07501,0.000373,0.000373,0.000373
97,38014.9,0.73246,0.64854,1.20164,0.90018,0.86608,0.90823,0.77091,0.64549,0.57178,1.10561,0.0003664,0.0003664,0.0003664
98,38370.9,0.73707,0.66816,1.1938,0.84327,0.86234,0.90539,0.75883,0.73632,0.59205,1.16199,0.0003598,0.0003598,0.0003598
99,38725.2,0.77531,0.70555,1.23386,0.80605,0.83907,0.88087,0.73736,0.76675,0.66463,1.14897,0.0003532,0.0003532,0.0003532
100,39081,0.74824,0.72433,1.22157,0.915,0.8424,0.92196,0.76356,0.78192,0.58696,1.16077,0.0003466,0.0003466,0.0003466
101,39436.5,0.74675,0.68266,1.20747,0.87604,0.86421,0.91359,0.7742,0.73069,0.57421,1.1437,0.00034,0.00034,0.00034
102,39791.3,0.75271,0.7268,1.23073,0.88017,0.76311,0.84864,0.70638,0.77556,0.62176,1.16777,0.0003334,0.0003334,0.0003334
103,40144.9,0.77149,0.71058,1.24474,0.86715,0.80844,0.90449,0.7811,0.64286,0.54646,1.08085,0.0003268,0.0003268,0.0003268
104,40497.7,0.74358,0.67441,1.20719,0.89874,0.8724,0.9129,0.77079,0.68106,0.53794,1.09238,0.0003202,0.0003202,0.0003202
105,40849.6,0.75161,0.66093,1.20567,0.80459,0.84372,0.90327,0.7861,0.62713,0.56853,1.05998,0.0003136,0.0003136,0.0003136
106,41201.8,0.73469,0.66989,1.19765,0.91658,0.87078,0.92516,0.79023,0.65735,0.5238,1.07123,0.000307,0.000307,0.000307
107,41554.8,0.72159,0.61572,1.20279,0.87186,0.91102,0.93026,0.80016,0.61449,0.54211,1.05856,0.0003004,0.0003004,0.0003004
108,41909,0.75103,0.6758,1.20793,0.89935,0.88013,0.92304,0.81178,0.5748,0.53397,1.04223,0.0002938,0.0002938,0.0002938
109,42262.5,0.73101,0.65626,1.22427,0.82462,0.77352,0.84071,0.72117,0.63286,0.61743,1.06985,0.0002872,0.0002872,0.0002872
110,42616.5,0.7268,0.62736,1.20177,0.89964,0.8786,0.91785,0.79844,0.58986,0.51462,1.05984,0.0002806,0.0002806,0.0002806
111,42970.5,0.70216,0.61485,1.1796,0.92393,0.83733,0.91574,0.79531,0.6027,0.59529,1.05418,0.000274,0.000274,0.000274
112,43325.3,0.72956,0.64803,1.21823,0.89773,0.8408,0.91476,0.78947,0.60282,0.59048,1.05821,0.0002674,0.0002674,0.0002674
113,43678.9,0.71447,0.64681,1.19394,0.84557,0.91102,0.92142,0.80298,0.59205,0.4993,1.05989,0.0002608,0.0002608,0.0002608
114,44031.5,0.69173,0.62954,1.17175,0.90215,0.89872,0.93342,0.79012,0.6601,0.48709,1.07609,0.0002542,0.0002542,0.0002542
115,44381.1,0.72381,0.64388,1.19732,0.84725,0.91095,0.92227,0.7933,0.65169,0.51455,1.07012,0.0002476,0.0002476,0.0002476
116,44732.8,0.69872,0.60212,1.18115,0.8788,0.90192,0.92086,0.78786,0.68247,0.52345,1.08652,0.000241,0.000241,0.000241
117,45084.4,0.73184,0.63937,1.20687,0.86075,0.90992,0.91303,0.77691,0.71506,0.55187,1.13036,0.0002344,0.0002344,0.0002344
118,45437.6,0.72084,0.60929,1.20147,0.86835,0.90332,0.92732,0.76328,0.74128,0.55845,1.13461,0.0002278,0.0002278,0.0002278
119,45791.8,0.7114,0.59834,1.17986,0.88254,0.90641,0.93042,0.80021,0.64768,0.50328,1.06858,0.0002212,0.0002212,0.0002212
120,46146.6,0.68609,0.59852,1.17778,0.91457,0.90724,0.93623,0.80539,0.63897,0.48568,1.0588,0.0002146,0.0002146,0.0002146
121,46500.3,0.7126,0.62917,1.18334,0.8954,0.91628,0.93602,0.80419,0.64192,0.49595,1.07258,0.000208,0.000208,0.000208
122,46852.6,0.67739,0.58311,1.16096,0.89311,0.88804,0.92777,0.79122,0.67325,0.50981,1.11753,0.0002014,0.0002014,0.0002014
123,47205.4,0.70894,0.60746,1.17993,0.88396,0.88643,0.93038,0.81416,0.60179,0.50422,1.05641,0.0001948,0.0001948,0.0001948
124,47558.8,0.69935,0.58583,1.16336,0.87836,0.91507,0.93129,0.80509,0.64057,0.5252,1.05943,0.0001882,0.0001882,0.0001882
125,47911.5,0.69193,0.60472,1.17877,0.93592,0.85198,0.91888,0.81008,0.60095,0.5396,1.07517,0.0001816,0.0001816,0.0001816
126,48264.3,0.68629,0.61317,1.17756,0.87197,0.88471,0.90904,0.77797,0.6697,0.54254,1.11448,0.000175,0.000175,0.000175
127,48623.4,0.71116,0.59838,1.17881,0.88771,0.86831,0.9196,0.79752,0.6374,0.52823,1.07832,0.0001684,0.0001684,0.0001684
128,48929,0.70963,0.58712,1.21268,0.88647,0.88885,0.92076,0.7843,0.66736,0.5369,1.08885,0.0001618,0.0001618,0.0001618
129,49348.3,0.72259,0.58968,1.1874,0.89969,0.84863,0.9172,0.78824,0.64237,0.529,1.08077,0.0001552,0.0001552,0.0001552
130,49834,0.68783,0.58391,1.18509,0.89303,0.84608,0.91516,0.80608,0.60887,0.53862,1.06289,0.0001486,0.0001486,0.0001486
131,50280.6,0.705,0.58151,1.19733,0.89474,0.84608,0.91385,0.77084,0.73199,0.57389,1.13048,0.000142,0.000142,0.000142
132,50690.8,0.67578,0.55173,1.16257,0.89918,0.85557,0.92106,0.81554,0.59081,0.51479,1.0627,0.0001354,0.0001354,0.0001354
133,51199.6,0.70476,0.60601,1.1944,0.90882,0.84666,0.92586,0.80926,0.6031,0.50201,1.06575,0.0001288,0.0001288,0.0001288
134,51657.2,0.67506,0.58779,1.17941,0.92521,0.8256,0.91748,0.78964,0.63077,0.50847,1.07683,0.0001222,0.0001222,0.0001222
135,52054.5,0.69279,0.56358,1.18607,0.88613,0.85719,0.91746,0.80168,0.61112,0.52595,1.07273,0.0001156,0.0001156,0.0001156
136,52394.2,0.69046,0.58148,1.1771,0.92772,0.82144,0.91614,0.7864,0.63247,0.52612,1.08491,0.000109,0.000109,0.000109
137,52765.8,0.66767,0.56239,1.16124,0.88876,0.85304,0.9187,0.78878,0.65787,0.53053,1.10157,0.0001024,0.0001024,0.0001024
138,53173.1,0.69321,0.5684,1.17825,0.84417,0.89581,0.91329,0.78491,0.67543,0.55189,1.11588,9.58e-05,9.58e-05,9.58e-05
139,53958.8,0.66159,0.55004,1.16933,0.84318,0.9017,0.91387,0.78744,0.64947,0.54336,1.10605,8.92e-05,8.92e-05,8.92e-05
140,54645.9,0.68532,0.57398,1.18976,0.83597,0.89341,0.91747,0.80763,0.60575,0.52712,1.07441,8.26e-05,8.26e-05,8.26e-05
141,55326.6,0.47787,0.40955,1.0009,0.87589,0.84501,0.90784,0.79692,0.59838,0.53637,1.06375,7.6e-05,7.6e-05,7.6e-05
142,55756.2,0.48829,0.37997,1.04924,0.8596,0.85437,0.89675,0.78237,0.61983,0.5539,1.0787,6.94e-05,6.94e-05,6.94e-05
143,56189.3,0.4561,0.35642,1.00845,0.89953,0.88378,0.91153,0.79314,0.62115,0.5454,1.08249,6.28e-05,6.28e-05,6.28e-05
144,56684.4,0.4615,0.3424,1.01528,0.90543,0.87043,0.91444,0.80209,0.61571,0.53786,1.08586,5.62e-05,5.62e-05,5.62e-05
145,57485,0.4769,0.34725,1.02438,0.89994,0.87708,0.91879,0.81018,0.59943,0.53332,1.06781,4.96e-05,4.96e-05,4.96e-05
146,58016.1,0.45847,0.31391,1.01282,0.85818,0.90692,0.91881,0.81083,0.60261,0.52622,1.07144,4.3e-05,4.3e-05,4.3e-05
147,58417.3,0.4527,0.3541,1.002,0.9015,0.86221,0.92066,0.80776,0.60513,0.51606,1.07957,3.64e-05,3.64e-05,3.64e-05
148,58775.5,0.44501,0.31019,1.007,0.89961,0.8824,0.9211,0.80192,0.61463,0.52315,1.08556,2.98e-05,2.98e-05,2.98e-05
149,59147,0.44634,0.31917,0.99697,0.92453,0.85483,0.92094,0.80506,0.61936,0.52794,1.08913,2.32e-05,2.32e-05,2.32e-05
150,59475.5,0.4333,0.30509,1.01069,0.89961,0.88392,0.922,0.81541,0.59054,0.51867,1.07564,1.66e-05,1.66e-05,1.66e-05
